babies_term,topic,topic_disaggregation,year,count,year_total,percent_total
Term,Onset of labour,No labour,2014,55637,65033,85.6
Term,Onset of labour,Not stated,2014,35,51,68.6
Post-term,Onset of labour,Spontaneous,2014,498,159039,0.3
Post-term,Onset of labour,Induced,2014,906,88425,1
Post-term,Onset of labour,No labour,2014,97,65033,0.1
Post-term,Onset of labour,Not stated,2014,0,51,0
Not stated,Onset of labour,Spontaneous,2014,88,159039,0.1
Not stated,Onset of labour,Induced,2014,74,88425,0.1
Not stated,Onset of labour,No labour,2014,64,65033,0.1
Not stated,Onset of labour,Not stated,2014,1,51,2.0
Pre-term,Plurality,Singleton,2014,20869,303207,6.9
Pre-term,Plurality,Twins,2014,5743,9116,63
Pre-term,Plurality,Other multiples,2014,219,219,100
Pre-term,Plurality,Not stated,2014,4,6,66.7
Term,Plurality,Singleton,2014,280639,303207,92.6
Term,Plurality,Twins,2014,3344,9116,36.7
Term,Plurality,Other multiples,2014,0,219,0
Term,Plurality,Not stated,2014,2,6,33.3
Post-term,Plurality,Singleton,2014,1501,303207,0.5
Post-term,Plurality,Twins,2014,0,9116,0
Post-term,Plurality,Other multiples,2014,0,219,0
Post-term,Plurality,Not stated,2014,0,6,0
Not stated,Plurality,Singleton,2014,198,303207,0.1
Not stated,Plurality,Twins,2014,29,9116,0.3
Not stated,Plurality,Other multiples,2014,0,219,0
Not stated,Plurality,Not stated,2014,0,6,0
Pre-term,Remoteness area,Major cities,2014,18651,225047,8.3
Pre-term,Remoteness area,Inner regional,2014,4661,50831,9.2
Pre-term,Remoteness area,Outer regional,2014,2508,26794,9.4
Pre-term,Remoteness area,Remote,2014,446,4768,9.4
Pre-term,Remoteness area,Very remote,2014,394,3133,12.6
Term,Remoteness area,Major cities,2014,205145,225047,91.2
Term,Remoteness area,Inner regional,2014,45887,50831,90.3
Term,Remoteness area,Outer regional,2014,24149,26794,90.1
Term,Remoteness area,Remote,2014,4295,4768,90.1
Term,Remoteness area,Very remote,2014,2725,3133,87
Post-term,Remoteness area,Major cities,2014,1053,225047,0.5
Post-term,Remoteness area,Inner regional,2014,265,50831,0.5
Post-term,Remoteness area,Outer regional,2014,132,26794,0.5
Post-term,Remoteness area,Remote,2014,26,4768,0.6
Post-term,Remoteness area,Very remote,2014,14,3133,0.4
Not stated,Remoteness area,Major cities,2014,198,225047,0.1
Not stated,Remoteness area,Inner regional,2014,18,50831,0
Not stated,Remoteness area,Outer regional,2014,6,26794,0
Not stated,Remoteness area,Remote,2014,1,4768,0
Not stated,Remoteness area,Very remote,2014,0,3133,0
Pre-term,Sex,Male,2014,14377,160338,9
Pre-term,Sex,Female,2014,12347,152024,8.1
Pre-term,Sex,Indeterminate/Not stated,2014,111,186,59.7
Term,Sex,Male,2014,145096,160338,90.5
Term,Sex,Female,2014,138821,152024,91.3
Term,Sex,Indeterminate/Not stated,2014,68,186,36.6
Post-term,Sex,Male,2014,769,160338,0.5
Post-term,Sex,Female,2014,732,152024,0.5
Post-term,Sex,Indeterminate/Not stated,2014,0,186,0
Not stated,Sex,Male,2014,96,160338,0.1
Not stated,Sex,Female,2014,124,152024,0.1
Not stated,Sex,Indeterminate/Not stated,2014,7,186,3.8
Pre-term,Smoking status (any time during pregnancy),Smoked,2014,4325,33767,12.8
Pre-term,Smoking status (any time during pregnancy),Did not smoke,2014,21812,273610,8
Pre-term,Smoking status (any time during pregnancy),Not stated,2014,698,5171,13.5
Term,Smoking status (any time during pregnancy),Smoked,2014,29291,33767,86.7
Term,Smoking status (any time during pregnancy),Did not smoke,2014,250243,273610,91.5
Term,Smoking status (any time during pregnancy),Not stated,2014,4451,5171,86.1
Post-term,Smoking status (any time during pregnancy),Smoked,2014,131,33767,0.4
Post-term,Smoking status (any time during pregnancy),Did not smoke,2014,1354,273610,0.5
Post-term,Smoking status (any time during pregnancy),Not stated,2014,16,5171,0.3
Not stated,Smoking status (any time during pregnancy),Smoked,2014,20,33767,0.1
Not stated,Smoking status (any time during pregnancy),Did not smoke,2014,201,273610,0.1
Not stated,Smoking status (any time during pregnancy),Not stated,2014,6,5171,0.1
Pre-term,Socioeconomic status,Q1 (most disadvantaged),2014,6163,64721,9.5
Pre-term,Socioeconomic status,Q2,2014,5288,61664,8.6
Pre-term,Socioeconomic status,Q3,2014,5404,62753,8.6
Pre-term,Socioeconomic status,Q4,2014,5281,63267,8.3
Pre-term,Socioeconomic status,Q5 (least disadvantaged),2014,4510,57985,7.8
Pre-term,Socioeconomic status,Not stated,2014,118,1428,8.3
Term,Socioeconomic status,Q1 (most disadvantaged),2014,58246,64721,90
Term,Socioeconomic status,Q2,2014,56066,61664,90.9
Term,Socioeconomic status,Q3,2014,56975,62753,90.8
Term,Socioeconomic status,Q4,2014,57591,63267,91
Term,Socioeconomic status,Q5 (least disadvantaged),2014,53154,57985,91.7
Term,Socioeconomic status,Not stated,2014,1299,1428,91
Post-term,Socioeconomic status,Q1 (most disadvantaged),2014,287,64721,0.4
Post-term,Socioeconomic status,Q2,2014,280,61664,0.5
Post-term,Socioeconomic status,Q3,2014,333,62753,0.5
Post-term,Socioeconomic status,Q4,2014,324,63267,0.5
Post-term,Socioeconomic status,Q5 (least disadvantaged),2014,265,57985,0.5
Post-term,Socioeconomic status,Not stated,2014,11,1428,0.8
Not stated,Socioeconomic status,Q1 (most disadvantaged),2014,25,64721,0
Not stated,Socioeconomic status,Q2,2014,30,61664,0
Not stated,Socioeconomic status,Q3,2014,41,62753,0.1
Not stated,Socioeconomic status,Q4,2014,71,63267,0.1
Not stated,Socioeconomic status,Q5 (least disadvantaged),2014,56,57985,0.1
Not stated,Socioeconomic status,Not stated,2014,0,1428,0
Pre-term,State and territory of birth,NSW,2014,7422,97319,7.6
Pre-term,State and territory of birth,Vic,2014,6910,79145,8.7
Pre-term,State and territory of birth,Qld,2014,5753,63811,9
Pre-term,State and territory of birth,WA,2014,3151,35205,9
Pre-term,State and territory of birth,SA,2014,1917,20749,9.2
Pre-term,State and territory of birth,Tas,2014,623,5892,10.6
Pre-term,State and territory of birth,ACT,2014,636,6452,9.9
Pre-term,State and territory of birth,NT,2014,423,3975,10.6
Term,State and territory of birth,NSW,2014,89430,97319,91.9
Term,State and territory of birth,Vic,2014,71513,79145,90.4
Term,State and territory of birth,Qld,2014,57778,63811,90.5
Term,State and territory of birth,WA,2014,31926,35205,90.7
Term,State and territory of birth,SA,2014,18782,20749,90.5
Term,State and territory of birth,Tas,2014,5247,5892,89.1
Term,State and territory of birth,ACT,2014,5778,6452,89.6
Term,State and territory of birth,NT,2014,3531,3975,88.8
Post-term,State and territory of birth,NSW,2014,387,97319,0.4
Post-term,State and territory of birth,Vic,2014,576,79145,0.7
Post-term,State and territory of birth,Qld,2014,280,63811,0.4
Post-term,State and territory of birth,WA,2014,128,35205,0.4
Post-term,State and territory of birth,SA,2014,50,20749,0.2
Post-term,State and territory of birth,Tas,2014,21,5892,0.4
Post-term,State and territory of birth,ACT,2014,38,6452,0.6
Post-term,State and territory of birth,NT,2014,21,3975,0.5
Not stated,State and territory of birth,NSW,2014,80,97319,0.1
Not stated,State and territory of birth,Vic,2014,146,79145,0.2
Not stated,State and territory of birth,Qld,2014,0,63811,0
Not stated,State and territory of birth,WA,2014,0,35205,0
Not stated,State and territory of birth,SA,2014,0,20749,0
Not stated,State and territory of birth,Tas,2014,1,5892,0
Not stated,State and territory of birth,ACT,2014,0,6452,0
Not stated,State and territory of birth,NT,2014,0,3975,0
Pre-term,Admission to SCN/NICU,Admitted,2015,11481,28979,39.6
Pre-term,Admission to SCN/NICU,Not admitted,2015,3128,141046,2.2
Pre-term,Admission to SCN/NICU,Not stated,2015,16,2184,0.7
Term,Admission to SCN/NICU,Admitted,2015,17393,28979,60
Term,Admission to SCN/NICU,Not admitted,2015,137293,141046,97.3
Term,Admission to SCN/NICU,Not stated,2015,2159,2184,98.9
Post-term,Admission to SCN/NICU,Admitted,2015,103,28979,0.4
Post-term,Admission to SCN/NICU,Not admitted,2015,609,141046,0.4
Post-term,Admission to SCN/NICU,Not stated,2015,8,2184,0.4
Not stated,Admission to SCN/NICU,Admitted,2015,2,28979,0
Not stated,Admission to SCN/NICU,Not admitted,2015,16,141046,0
Not stated,Admission to SCN/NICU,Not stated,2015,1,2184,0
Pre-term,Birth status,Live birth,2015,24955,306725,8.1
Pre-term,Birth status,Stillbirth,2015,1833,2160,84.9
Pre-term,Birth status,Not stated,2015,1,2,50
Term,Birth status,Live birth,2015,280497,306725,91.4
Term,Birth status,Stillbirth,2015,321,2160,14.9
Term,Birth status,Not stated,2015,1,2,50
Post-term,Birth status,Not stated,2015,0,2,0
Not stated,Birth status,Not stated,2015,0,2,0
Pre-term,Birthweight,Low birthweight,2015,15670,21603,72.5
Pre-term,Birthweight,Normal birthweight,2015,11012,282871,3.9
Pre-term,Birthweight,High birthweight,2015,44,4271,1
Pre-term,Birthweight,Not stated,2015,63,142,44.4
Term,Birthweight,Low birthweight,2015,5913,21603,27.4
Term,Birthweight,Normal birthweight,2015,270680,282871,95.7
Term,Birthweight,High birthweight,2015,4148,4271,97.1
Term,Birthweight,Not stated,2015,78,142,54.9
Post-term,Birthweight,Normal birthweight,2015,1135,282871,0.4
Post-term,Birthweight,Not stated,2015,1,142,0.7
Not stated,Birthweight,Normal birthweight,2015,44,282871,0
Not stated,Birthweight,Not stated,2015,0,142,0
Pre-term,Body mass index,Underweight,2015,869,7847,11.1
Pre-term,Body mass index,Normal weight,2015,8237,101151,8.1
Pre-term,Body mass index,Overweight,2015,4334,52161,8.3
Pre-term,Body mass index,Obese,2015,3869,40250,9.6
Pre-term,Body mass index,Not stated,2015,1467,7084,20.7
Term,Body mass index,Underweight,2015,6958,7847,88.7
Term,Body mass index,Normal weight,2015,92480,101151,91.4
Term,Body mass index,Overweight,2015,47596,52161,91.2
Term,Body mass index,Obese,2015,36245,40250,90
Term,Body mass index,Not stated,2015,5587,7084,78.9
Post-term,Body mass index,Underweight,2015,20,7847,0.3
Post-term,Body mass index,Normal weight,2015,428,101151,0.4
Post-term,Body mass index,Overweight,2015,227,52161,0.4
Post-term,Body mass index,Obese,2015,133,40250,0.3
Post-term,Body mass index,Not stated,2015,24,7084,0.3
Not stated,Body mass index,Underweight,2015,0,7847,0
Not stated,Body mass index,Normal weight,2015,6,101151,0
Not stated,Body mass index,Overweight,2015,4,52161,0
Not stated,Body mass index,Obese,2015,3,40250,0
Not stated,Body mass index,Not stated,2015,6,7084,0.1
Pre-term,Country of birth (mother),Born in Australia,2015,18928,205817,9.2
Pre-term,Country of birth (mother),Born overseas,2015,7720,101502,7.6
Pre-term,Country of birth (mother),Not stated,2015,141,1568,9
Term,Country of birth (mother),Born in Australia,2015,185999,205817,90.4
Term,Country of birth (mother),Born overseas,2015,93408,101502,92
Term,Country of birth (mother),Not stated,2015,1412,1568,90.1
Post-term,Country of birth (mother),Born in Australia,2015,848,205817,0.4
Post-term,Country of birth (mother),Born overseas,2015,354,101502,0.3
Post-term,Country of birth (mother),Not stated,2015,14,1568,0.9
Not stated,Country of birth (mother),Born in Australia,2015,42,205817,0
Not stated,Country of birth (mother),Born overseas,2015,20,101502,0
Not stated,Country of birth (mother),Not stated,2015,1,1568,0.1
Pre-term,Hospital sector,Public,2015,20199,220397,9.2
Pre-term,Hospital sector,Private,2015,6375,80813,7.9
Pre-term,Hospital sector,Not stated,2015,0,0,0
Term,Hospital sector,Public,2015,199173,220397,90.4
Term,Hospital sector,Private,2015,74255,80813,91.9
Term,Hospital sector,Not stated,2015,0,0,0
Post-term,Hospital sector,Public,2015,984,220397,0.4
Post-term,Hospital sector,Private,2015,166,80813,0.2
Post-term,Hospital sector,Not stated,2015,0,0,0
Not stated,Hospital sector,Public,2015,41,220397,0
Not stated,Hospital sector,Private,2015,17,80813,0
Not stated,Hospital sector,Not stated,2015,0,0,0
Pre-term,Indigenous status (mother),Indigenous,2015,1806,13204,13.7
Pre-term,Indigenous status (mother),Non-Indigenous,2015,24920,295310,8.4
Pre-term,Indigenous status (mother),Not stated,2015,63,373,16.9
Term,Indigenous status (mother),Indigenous,2015,11357,13204,86
Term,Indigenous status (mother),Non-Indigenous,2015,269154,295310,91.1
Term,Indigenous status (mother),Not stated,2015,308,373,82.6
Post-term,Indigenous status (mother),Indigenous,2015,35,13204,0.3
Post-term,Indigenous status (mother),Non-Indigenous,2015,1179,295310,0.4
Post-term,Indigenous status (mother),Not stated,2015,2,373,0.5
Not stated,Indigenous status (mother),Indigenous,2015,6,13204,0
Not stated,Indigenous status (mother),Non-Indigenous,2015,57,295310,0
Not stated,Indigenous status (mother),Not stated,2015,0,373,0
Pre-term,Indigenous status (baby),Indigenous,2015,2158,16798,12.8
Pre-term,Indigenous status (baby),Non-Indigenous,2015,24155,290857,8.3
Pre-term,Indigenous status (baby),Not stated,2015,476,1232,38.6
Term,Indigenous status (baby),Indigenous,2015,14592,16798,86.9
Term,Indigenous status (baby),Non-Indigenous,2015,265475,290857,91.3
Term,Indigenous status (baby),Not stated,2015,752,1232,61
Post-term,Indigenous status (baby),Indigenous,2015,40,16798,0.2
Post-term,Indigenous status (baby),Non-Indigenous,2015,1173,290857,0.4
Post-term,Indigenous status (baby),Not stated,2015,3,1232,0.2
Not stated,Indigenous status (baby),Indigenous,2015,8,16798,0
Not stated,Indigenous status (baby),Non-Indigenous,2015,54,290857,0
Not stated,Indigenous status (baby),Not stated,2015,1,1232,0.1
Pre-term,Maternal age,Less than 20,2015,907,8268,11
Pre-term,Maternal age,20-24,2015,3467,38893,8.9
Pre-term,Maternal age,25-29,2015,6717,83959,8
Pre-term,Maternal age,30-34,2015,8849,108400,8.2
Pre-term,Maternal age,35-39,2015,5209,56080,9.3
Pre-term,Maternal age,40 and over,2015,1637,13265,12.3
Pre-term,Maternal age,Not stated,2015,3,22,13.6
Term,Maternal age,Less than 20,2015,7340,8268,88.8
Term,Maternal age,20-24,2015,35289,38893,90.7
Term,Maternal age,25-29,2015,76903,83959,91.6
Term,Maternal age,30-34,2015,99069,108400,91.4
Term,Maternal age,35-39,2015,50620,56080,90.3
Term,Maternal age,40 and over,2015,11581,13265,87.3
Term,Maternal age,Not stated,2015,17,22,77.3
Post-term,Maternal age,Less than 20,2015,20,8268,0.2
Post-term,Maternal age,20-24,2015,127,38893,0.3
Post-term,Maternal age,25-29,2015,327,83959,0.4
Post-term,Maternal age,30-34,2015,461,108400,0.4
Post-term,Maternal age,35-39,2015,235,56080,0.4
Post-term,Maternal age,40 and over,2015,44,13265,0.3
Post-term,Maternal age,Not stated,2015,2,22,9.1
Not stated,Maternal age,Less than 20,2015,1,8268,0
Not stated,Maternal age,20-24,2015,10,38893,0
Not stated,Maternal age,25-29,2015,12,83959,0
Not stated,Maternal age,30-34,2015,21,108400,0
Not stated,Maternal age,35-39,2015,16,56080,0
Not stated,Maternal age,40 and over,2015,3,13265,0
Not stated,Maternal age,Not stated,2015,0,22,0
Pre-term,Method of birth,Vaginal (non-instrumental),2015,11551,166073,7
Pre-term,Method of birth,Vaginal (forceps),2015,1030,15764,6.5
Pre-term,Method of birth,Vaginal (vacuum),2015,841,22437,3.7
Pre-term,Method of birth,Caesarean section,2015,13363,104604,12.8
Pre-term,Method of birth,Not stated,2015,4,9,44.4
Term,Method of birth,Vaginal (non-instrumental),2015,153855,166073,92.6
Term,Method of birth,Vaginal (forceps),2015,14626,15764,92.8
Term,Method of birth,Vaginal (vacuum),2015,21482,22437,95.7
Term,Method of birth,Caesarean section,2015,90851,104604,86.9
Term,Method of birth,Not stated,2015,5,9,55.6
Post-term,Method of birth,Vaginal (non-instrumental),2015,632,166073,0.4
Post-term,Method of birth,Vaginal (forceps),2015,108,15764,0.7
Post-term,Method of birth,Vaginal (vacuum),2015,111,22437,0.5
Post-term,Method of birth,Caesarean section,2015,365,104604,0.3
Post-term,Method of birth,Not stated,2015,0,9,0
Not stated,Method of birth,Vaginal (non-instrumental),2015,35,166073,0
Not stated,Method of birth,Vaginal (forceps),2015,0,15764,0
Not stated,Method of birth,Vaginal (vacuum),2015,3,22437,0
Not stated,Method of birth,Caesarean section,2015,25,104604,0
Not stated,Method of birth,Not stated,2015,0,9,0
Pre-term,Onset of labour,Spontaneous,2015,11904,153705,7.7
Pre-term,Onset of labour,Induced,2015,5613,90297,6.2
Pre-term,Onset of labour,No labour,2015,9268,64857,14.3
Pre-term,Onset of labour,Not stated,2015,4,28,14.3
Term,Onset of labour,Spontaneous,2015,141330,153705,91.9
Term,Onset of labour,Induced,2015,83964,90297,93
Term,Onset of labour,No labour,2015,55502,64857,85.6
Term,Onset of labour,Not stated,2015,23,28,82.1
Post-term,Onset of labour,Spontaneous,2015,437,153705,0.3
Post-term,Onset of labour,Induced,2015,711,90297,0.8
Post-term,Onset of labour,No labour,2015,68,64857,0.1
Post-term,Onset of labour,Not stated,2015,0,28,0
Not stated,Onset of labour,Spontaneous,2015,34,153705,0
Not stated,Onset of labour,Induced,2015,9,90297,0
Not stated,Onset of labour,No labour,2015,19,64857,0
Not stated,Onset of labour,Not stated,2015,1,28,3.6
Pre-term,Plurality,Singleton,2015,20947,299728,7
Pre-term,Plurality,Twins,2015,5605,8922,62.8
Pre-term,Plurality,Other multiples,2015,237,237,100
Pre-term,Plurality,Not stated,2015,0,0,0
Term,Plurality,Singleton,2015,277515,299728,92.6
Term,Plurality,Twins,2015,3304,8922,37
Term,Plurality,Other multiples,2015,0,237,0
Term,Plurality,Not stated,2015,0,0,0
Post-term,Plurality,Singleton,2015,1216,299728,0.4
Post-term,Plurality,Twins,2015,0,8922,0
Post-term,Plurality,Other multiples,2015,0,237,0
Post-term,Plurality,Not stated,2015,0,0,0
Not stated,Plurality,Singleton,2015,50,299728,0
Not stated,Plurality,Twins,2015,13,8922,0.1
Not stated,Plurality,Other multiples,2015,0,237,0
Not stated,Plurality,Not stated,2015,0,0,0
Pre-term,Remoteness area,Major cities,2015,18746,222675,8.4
Pre-term,Remoteness area,Inner regional,2015,4579,50152,9.1
Pre-term,Remoteness area,Outer regional,2015,2407,25809,9.3
Pre-term,Remoteness area,Remote,2015,420,4511,9.3
Pre-term,Remoteness area,Very remote,2015,387,2969,13
Term,Remoteness area,Major cities,2015,203058,222675,91.2
Term,Remoteness area,Inner regional,2015,45314,50152,90.4
Term,Remoteness area,Outer regional,2015,23293,25809,90.3
Term,Remoteness area,Remote,2015,4078,4511,90.4
Term,Remoteness area,Very remote,2015,2574,2969,86.7
Post-term,Remoteness area,Major cities,2015,833,222675,0.4
Post-term,Remoteness area,Inner regional,2015,247,50152,0.5
Post-term,Remoteness area,Outer regional,2015,102,25809,0.4
Post-term,Remoteness area,Remote,2015,13,4511,0.3
Post-term,Remoteness area,Very remote,2015,7,2969,0.2
Not stated,Remoteness area,Major cities,2015,39,222675,0
Not stated,Remoteness area,Inner regional,2015,12,50152,0
Not stated,Remoteness area,Outer regional,2015,7,25809,0
Not stated,Remoteness area,Remote,2015,1,4511,0
Not stated,Remoteness area,Very remote,2015,1,2969,0
Pre-term,Sex,Male,2015,14430,158803,9.1
Pre-term,Sex,Female,2015,12296,149995,8.2
Pre-term,Sex,Indeterminate/Not stated,2015,63,89,70.8
Term,Sex,Male,2015,143714,158803,90.5
Term,Sex,Female,2015,137079,149995,91.4
Term,Sex,Indeterminate/Not stated,2015,26,89,29.2
Post-term,Sex,Male,2015,623,158803,0.4
Post-term,Sex,Female,2015,593,149995,0.4
Post-term,Sex,Indeterminate/Not stated,2015,0,89,0
Not stated,Sex,Male,2015,36,158803,0
Not stated,Sex,Female,2015,27,149995,0
Not stated,Sex,Indeterminate/Not stated,2015,0,89,0
Pre-term,Smoking status (any time during pregnancy),Smoked,2015,4055,31674,12.8
Pre-term,Smoking status (any time during pregnancy),Did not smoke,2015,22063,272194,8.1
Pre-term,Smoking status (any time during pregnancy),Not stated,2015,671,5019,13.4
Term,Smoking status (any time during pregnancy),Smoked,2015,27499,31674,86.8
Term,Smoking status (any time during pregnancy),Did not smoke,2015,248993,272194,91.5
Term,Smoking status (any time during pregnancy),Not stated,2015,4327,5019,86.2
Post-term,Smoking status (any time during pregnancy),Smoked,2015,106,31674,0.3
Post-term,Smoking status (any time during pregnancy),Did not smoke,2015,1092,272194,0.4
Post-term,Smoking status (any time during pregnancy),Not stated,2015,18,5019,0.4
Not stated,Smoking status (any time during pregnancy),Smoked,2015,14,31674,0
Not stated,Smoking status (any time during pregnancy),Did not smoke,2015,46,272194,0
Not stated,Smoking status (any time during pregnancy),Not stated,2015,3,5019,0.1
Pre-term,Socioeconomic status,Q1 (most disadvantaged),2015,6030,63158,9.5
Pre-term,Socioeconomic status,Q2,2015,5402,60802,8.9
Pre-term,Socioeconomic status,Q3,2015,5343,61375,8.7
Pre-term,Socioeconomic status,Q4,2015,5284,63331,8.3
Pre-term,Socioeconomic status,Q5 (least disadvantaged),2015,4467,57186,7.8
Pre-term,Socioeconomic status,Not stated,2015,189,2223,8.5
Term,Socioeconomic status,Q1 (most disadvantaged),2015,56903,63158,90.1
Term,Socioeconomic status,Q2,2015,55130,60802,90.7
Term,Socioeconomic status,Q3,2015,55778,61375,90.9
Term,Socioeconomic status,Q4,2015,57798,63331,91.3
Term,Socioeconomic status,Q5 (least disadvantaged),2015,52458,57186,91.7
Term,Socioeconomic status,Not stated,2015,2023,2223,91
Post-term,Socioeconomic status,Q1 (most disadvantaged),2015,209,63158,0.3
Post-term,Socioeconomic status,Q2,2015,255,60802,0.4
Post-term,Socioeconomic status,Q3,2015,249,61375,0.4
Post-term,Socioeconomic status,Q4,2015,241,63331,0.4
Post-term,Socioeconomic status,Q5 (least disadvantaged),2015,246,57186,0.4
Post-term,Socioeconomic status,Not stated,2015,9,2223,0.4
Not stated,Socioeconomic status,Q1 (most disadvantaged),2015,16,63158,0
Not stated,Socioeconomic status,Q2,2015,15,60802,0
Not stated,Socioeconomic status,Q3,2015,5,61375,0
Not stated,Socioeconomic status,Q4,2015,8,63331,0
Not stated,Socioeconomic status,Q5 (least disadvantaged),2015,15,57186,0
Not stated,Socioeconomic status,Not stated,2015,2,2223,0.1
Pre-term,State and territory of birth,NSW,2015,7600,96385,7.9
Pre-term,State and territory of birth,Vic,2015,6931,79295,8.7
Pre-term,State and territory of birth,Qld,2015,5637,61888,9.1
Pre-term,State and territory of birth,WA,2015,3043,34983,8.7
Pre-term,State and territory of birth,SA,2015,1940,20154,9.6
Pre-term,State and territory of birth,Tas,2015,632,5693,11.1
Pre-term,State and territory of birth,ACT,2015,593,6480,9.2
Pre-term,State and territory of birth,NT,2015,413,4009,10.3
Term,State and territory of birth,NSW,2015,88374,96385,91.7
Term,State and territory of birth,Vic,2015,71977,79295,90.8
Term,State and territory of birth,Qld,2015,55996,61888,90.5
Term,State and territory of birth,WA,2015,31829,34983,91
Term,State and territory of birth,SA,2015,18174,20154,90.2
Term,State and territory of birth,Tas,2015,5035,5693,88.4
Term,State and territory of birth,ACT,2015,5855,6480,90.4
Term,State and territory of birth,NT,2015,3579,4009,89.3
Post-term,State and territory of birth,NSW,2015,367,96385,0.4
Post-term,State and territory of birth,Vic,2015,373,79295,0.5
Post-term,State and territory of birth,Qld,2015,254,61888,0.4
Post-term,State and territory of birth,WA,2015,111,34983,0.3
Post-term,State and territory of birth,SA,2015,37,20154,0.2
Post-term,State and territory of birth,Tas,2015,25,5693,0.4
Post-term,State and territory of birth,ACT,2015,32,6480,0.5
Post-term,State and territory of birth,NT,2015,17,4009,0.4
Not stated,State and territory of birth,NSW,2015,44,96385,0
Not stated,State and territory of birth,Vic,2015,14,79295,0
Not stated,State and territory of birth,Qld,2015,1,61888,0
Not stated,State and territory of birth,WA,2015,0,34983,0
Not stated,State and territory of birth,SA,2015,3,20154,0
Not stated,State and territory of birth,Tas,2015,1,5693,0
Not stated,State and territory of birth,ACT,2015,0,6480,0
Not stated,State and territory of birth,NT,2015,0,4009,0
Pre-term,Admission to SCN/NICU,Admitted,2016,11768,30345,38.8
Pre-term,Admission to SCN/NICU,Not admitted,2016,3067,142308,2.2
Pre-term,Admission to SCN/NICU,Not stated,2016,36,2251,1.6
Term,Admission to SCN/NICU,Admitted,2016,18481,30345,60.9
Term,Admission to SCN/NICU,Not admitted,2016,138742,142308,97.5
Term,Admission to SCN/NICU,Not stated,2016,2205,2251,98
Post-term,Admission to SCN/NICU,Admitted,2016,94,30345,0.3
Post-term,Admission to SCN/NICU,Not admitted,2016,492,142308,0.3
Post-term,Admission to SCN/NICU,Not stated,2016,9,2251,0.4
Not stated,Admission to SCN/NICU,Admitted,2016,2,30345,0
Not stated,Admission to SCN/NICU,Not admitted,2016,7,142308,0
Not stated,Admission to SCN/NICU,Not stated,2016,1,2251,0
Pre-term,Birth status,Live birth,2016,24994,312683,8
Pre-term,Birth status,Stillbirth,2016,1807,2107,85.8
Pre-term,Birth status,Not stated,2016,13,24,54.2
Term,Birth status,Live birth,2016,285661,312683,91.4
Term,Birth status,Stillbirth,2016,293,2107,13.9
Term,Birth status,Not stated,2016,10,24,41.7
Post-term,Birth status,Not stated,2016,0,24,0
Not stated,Birth status,Live birth,2016,249,312683,0.1
Pre-term,Birthweight,Low birthweight,2016,16034,22179,72.3
Pre-term,Birthweight,Normal birthweight,2016,10692,288486,3.7
Pre-term,Birthweight,High birthweight,2016,24,3973,0.6
Pre-term,Birthweight,Not stated,2016,64,176,36.4
Term,Birthweight,Low birthweight,2016,6120,22179,27.6
Term,Birthweight,Normal birthweight,2016,275893,288486,95.6
Term,Birthweight,High birthweight,2016,3842,3973,96.7
Term,Birthweight,Not stated,2016,109,176,61.9
Post-term,Birthweight,Low birthweight,2016,5,22179,0
Post-term,Birthweight,Normal birthweight,2016,1668,288486,0.6
Post-term,Birthweight,High birthweight,2016,106,3973,2.7
Post-term,Birthweight,Not stated,2016,3,176,1.7
Not stated,Birthweight,Low birthweight,2016,20,22179,0.1
Not stated,Birthweight,Normal birthweight,2016,233,288486,0.1
Not stated,Birthweight,High birthweight,2016,1,3973,0
Not stated,Birthweight,Not stated,2016,0,176,0
Pre-term,Body mass index,Underweight,2016,908,8009,11.3
Pre-term,Body mass index,Normal weight,2016,8193,102361,8
Pre-term,Body mass index,Overweight,2016,4639,53528,8.7
Pre-term,Body mass index,Obese,2016,4050,41925,9.7
Pre-term,Body mass index,Not stated,2016,1433,6271,22.9
Term,Body mass index,Underweight,2016,7083,8009,88.4
Term,Body mass index,Normal weight,2016,93793,102361,91.6
Term,Body mass index,Overweight,2016,48709,53528,91
Term,Body mass index,Obese,2016,37777,41925,90.1
Term,Body mass index,Not stated,2016,4803,6271,76.6
Post-term,Body mass index,Underweight,2016,18,8009,0.2
Post-term,Body mass index,Normal weight,2016,370,102361,0.4
Post-term,Body mass index,Overweight,2016,179,53528,0.3
Post-term,Body mass index,Obese,2016,98,41925,0.2
Post-term,Body mass index,Not stated,2016,31,6271,0.5
Not stated,Body mass index,Underweight,2016,0,8009,0
Not stated,Body mass index,Normal weight,2016,5,102361,0
Not stated,Body mass index,Overweight,2016,1,53528,0
Not stated,Body mass index,Obese,2016,0,41925,0
Not stated,Body mass index,Not stated,2016,4,6271,0.1
Pre-term,Country of birth (mother),Born in Australia,2016,18684,205224,9.1
Pre-term,Country of birth (mother),Born overseas,2016,7986,107880,7.4
Pre-term,Country of birth (mother),Not stated,2016,144,1710,8.4
Term,Country of birth (mother),Born in Australia,2016,185156,205224,90.2
Term,Country of birth (mother),Born overseas,2016,99265,107880,92
Term,Country of birth (mother),Not stated,2016,1543,1710,90.2
Post-term,Country of birth (mother),Born in Australia,2016,1235,205224,0.6
Post-term,Country of birth (mother),Born overseas,2016,525,107880,0.5
Post-term,Country of birth (mother),Not stated,2016,22,1710,1.3
Not stated,Country of birth (mother),Born in Australia,2016,149,205224,0.1
